organizationNr,name,registrationDate,nrEmployees,ownedBy_organizationNr,ownershipPercentage,organizationForm,address,postalCode,town,municipalityNr,municipality,countryCode,country
985211132,SEKRETARIATET FOR MARKEDSRÅDET OG FORBRUKERKLAGEUTVALGET,2002-12-17,11,972417793,0.76,ORGL,Gjerdrums vei 8,0484,OSLO,0301,OSLO,NO,Norge
974772876,MARNARDAL KOMMUNE KULTURADMINISTRASJON,1996-09-01,15,964966931,0.48,ORGL,Rådhuset,4534,MARNARDAL,1021,MARNARDAL,NO,Norge
974777657,STJØRDAL KOMMUNE ETAT OMSORG,1997-02-20,1273,939958851,0.67,ORGL,Kjøpmannsgata 9,7500,STJØRDAL,5035,STJØRDAL,NO,Norge
970348298,KYSTVERKET SØRØST,1995-02-20,71,874783242,0.45,ORGL,Kystveien 30,4841,ARENDAL,0906,ARENDAL,NO,Norge
974793296,NORDKAPP KOMMUNE HELSE- OG SOSIALSEKTOREN,1997-02-20,275,938469415,0.54,ORGL,Sykehusveien 16,9750,HONNINGSVÅG,2019,NORDKAPP,NO,Norge
976245156,FINNMARK FYLKESKOMMUNE OPPLÆRINGSAVDELINGA,1996-05-28,885,964994218,0.41,ORGL,Henry Karlsens plass 1,9800,VADSØ,2003,VADSØ,NO,Norge
974640767,BAMBLE KOMMUNE ENHET FOR KULTUR OG OPPVEKST,1996-10-26,210,940244145,0.91,ORGL,Kirkeveien 12,3970,LANGESUND,0814,BAMBLE,NO,Norge
959469237,TJELDSUND KOMMUNE,1995-06-07,279,null,null,KOMM,Tjeldøyveien 800,9444,HOL I TJELDSUND,1852,TJELDSUND,NO,Norge
974778165,FLATANGER KOMMUNE HELSE OG OMSORG,1996-10-26,131,845153272,0.76,ORGL,"Miljøbygget, Lauvsnes",7770,FLATANGER,5049,FLATANGER,NO,Norge
963063237,LOPPA KOMMUNE,1995-06-07,294,null,null,KOMM,Parkveien 1-3,9550,ØKSFJORD,2014,LOPPA,NO,Norge
984959206,AGDER ARBEIDSMILJØ IKS,2002-10-31,11,null,null,IKS,Bedriftsveien 9,4841,ARENDAL,0906,ARENDAL,NO,Norge
940331102,KVÆNANGEN KOMMUNE,1995-06-07,674,null,null,KOMM,BURFJORD,9161,BURFJORD,1943,KVÆNANGEN,NO,Norge
964979545,RENNESØY KOMMUNE,1995-06-07,697,null,null,KOMM,Asalveien 6,4150,RENNESØY,1142,RENNESØY,NO,Norge
988006432,KULTURSKULEN PÅ INDRE NORDMØRE,2005-03-15,20,964981892,0.68,ORGL,Svartvassvegen 1,6650,SURNADAL,1566,SURNADAL,NO,Norge
974635399,SKI KOMMUNE OPPVEKST,1996-08-28,1396,960507878,0.73,ORGL,Idrettsveien 8,1400,SKI,0213,SKI,NO,Norge
